aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name
JABODETABEK,Jawa Barat,Bogor Kabupaten,Cigudeg
"",Gorontalo,Gorontalo Kota,Kota Timur
"",Sumatera Selatan,Banyu Asin,Sumber Marga Telang
JABODETABEK,DKI Jakarta,Jakarta,Kramat Jati
"",Gorontalo,Bone Bolango,Tilongkabila
"",Jawa Tengah,Kendal,Patebon
"",Jawa Tengah,Rembang,Gunem
"",Sumatera Utara,Labuhanbatu Selatan,""
"",Aceh,Aceh Jaya,""
"",Daerah Istimewa Yogyakarta,Sleman,Ngemplak
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Babelan
"",Jawa Tengah,Karanganyar,Ngargoyoso
"",Nusa Tenggara Barat,Lombok Tengah,Praya
"",Jawa Barat,Tasikmalaya Kabupaten,Singaparna
"",Jawa Timur,Malang Kabupaten,Bululawang
"",Banten,Serang Kota,Kasemen
"",Jawa Timur,Sidoarjo,Wonoayu
"",Jawa Tengah,Magelang Kabupaten,Bandongan
"",Jawa Tengah,Magelang Kota,Magelang Selatan
"",Nusa Tenggara Timur,Sumba Barat Daya,Kodi
"",Nusa Tenggara Timur,Sumba Timur,""
"",Jawa Timur,Banyuwangi,Wongsorejo
"",Jawa Tengah,Pemalang,Comal
"",Jawa Timur,Madiun Kabupaten,Geger
"",Sumatera Selatan,Musi Banyuasin,""
"",Sulawesi Selatan,Maros,Tompu Bulu
"",Jawa Barat,Ciamis,Ciamis
"",Jawa Barat,Cianjur,Agrabinta
"",Jawa Barat,Majalengka,Sumberjaya
"",Jawa Timur,Kediri Kabupaten,Semen
"",Lampung,Bandar Lampung,Bumi Waras
"",Banten,Lebak,Cikulur
"",Jawa Barat,Sumedang,""
"",Jawa Tengah,Grobogan,Toroh
"",Jawa Barat,Tasikmalaya Kota,Indihiang
"",DKI Jakarta,Jakarta,Menteng
"",Aceh,Aceh Tamiang,Manyak Payed
"",Aceh,Bireuen,Kuala
"",Sumatera Selatan,Ogan Ilir,Rantau Alai
"",Jawa Barat,Pangandaran,Kalipucang
"",Sumatera Barat,Padang Pariaman,Nan Sabaris
"",Jawa Barat,Garut,Pasirwangi
"",Aceh,Aceh Barat,Woyla Timur
JABODETABEK,DKI Jakarta,Jakarta Timur,Ciracas
JABODETABEK,Banten,Tangerang Selatan,Serpong
"",Jawa Timur,Malang Kabupaten,Kalipare
"",Sumatera Utara,Medan,Medan Tuntungan
"",Lampung,Lampung Selatan,Natar
"",Jawa Barat,Bogor Kabupaten,Sukamakmur
"",Jawa Tengah,Sukoharjo,Polokarto
"",Lampung,Lampung Selatan,Jati Agung
"",Jawa Barat,Subang,Serangpanjang
"",Jawa Barat,Garut,Malangbong
"",Nusa Tenggara Timur,Sumba Barat Daya,Kota Tambolaka
"",Papua Barat Daya,Raja Ampat,""
"",Jawa Barat,Kuningan,Cidahu
"",Aceh,Aceh Tamiang,Karang Baru
"",Jambi,Jambi,Danau Sipin
"",Jawa Barat,Garut,Leles
"",Banten,Pandeglang,Sukaresmi
"",Jawa Barat,Tasikmalaya Kota,Mangkubumi
"",Jawa Timur,Situbondo,Mlandingan
"",Jawa Timur,Kediri Kabupaten,Ringinrejo
"",Sumatera Barat,Padang Pariaman,Padang Sago
"",Jawa Tengah,Banjarnegara,Bawang
"",Jawa Timur,Blitar Kabupaten,Selopuro
"",Kalimantan Barat,Melawi,Belimbing
"",Nusa Tenggara Barat,Sumbawa,Utan
"",Sumatera Selatan,Musi Rawas Utara,""
"",Jawa Timur,Surabaya,""
"",Banten,Serang,Kasemen
"",Jawa Barat,Bogor Kabupaten,Cibungbulang
"",Jawa Timur,Malang Kabupaten,Donomulyo
"",Jawa Tengah,Sukoharjo,Grogol
"",Jawa Tengah,Klaten,Wedi
"",Jawa Barat,Purwakarta,Campaka
Bandung Raya,Jawa Barat,Bandung Kabupaten,Paseh
"",Kalimantan Barat,Pontianak,Pontianak Tenggara
"",Jawa Barat,Sumedang,Cimalaka
"",Lampung,Tulangbawang,""
"",Jawa Tengah,Purbalingga,Kutasari
"",Jawa Timur,Pasuruan Kabupaten,Tutur
"",Nusa Tenggara Timur,Ngada,Bajawa
"",Jawa Timur,Malang Kabupaten,Bantur
"",Jawa Barat,Sukabumi Kabupaten,Sukabumi
"",Jawa Barat,Ciamis,Panawangan
"",Jawa Timur,Tuban,Palang
"",Papua,Jayapura,""
"",Jawa Barat,Sumedang,Rancakalong
"",Jawa Tengah,Banyumas,Somagede
"",Jawa Barat,Cirebon Kota,""
"",Jawa Barat,Tasikmalaya Kabupaten,Cipatujah
JABODETABEK,Banten,Tangerang,Batuceper
"",Sumatera Selatan,Musi Banyuasin,Tungkal Jaya
"",Sulawesi Tengah,Buol,""
"",Jawa Barat,Sukabumi,""
"",Aceh,Langsa,Langsa Baro
"",Jawa Tengah,Pati,Gunung Wungkal
"",Nusa Tenggara Timur,Sumba Tengah,Mamboro
Bandung Raya,Jawa Barat,Bandung Barat,Parongpong
"",Jawa Barat,Bandung Kota,Coblong
"",Jawa Barat,Bekasi Kabupaten,Cikarang Pusat
"",Bali,Klungkung,Nusapenida
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Serang Baru
"",Sumatera Selatan,Palembang,Sukarami
"",Jawa Barat,Bandung Kabupaten,Cangkuang
JABODETABEK,DKI Jakarta,Jakarta,Grogol Petamburan
"",Sumatera Utara,Medan,Medan Denai
"",Kepulauan Bangka Belitung,Belitung,Tanjungpandan
"",Jawa Tengah,Kendal,Kaliwungu
"",Jawa Barat,Sukabumi Kota,Lembursitu
"",Papua Barat Daya,Sorong,Sorong Timur
"",Jawa Tengah,Batang,Pecalungan
"",Aceh,Simeulue,Teluk Dalam
Bandung Raya,Jawa Barat,Bandung,Lembang
"",Jawa Barat,Garut,Caringin
"",Kalimantan Timur,Kutai Timur,""
"",Jawa Barat,Tasikmalaya Kota,Bungursari
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Karangbahagia
"",Jawa Tengah,Pekalongan Kabupaten,Kandangserang
"",Kalimantan Selatan,Tanah Bumbu,Batulicin
"",Jawa Timur,Probolinggo Kota,Wonoasih
"",Jawa Tengah,Purworejo,""
"",Nusa Tenggara Timur,Kupang,Kupang Tengah
"",Jawa Timur,Bondowoso,Maesan
"",Sulawesi Selatan,Maros,Camba
"",Jawa Timur,Malang Kabupaten,Dau
Bandung Raya,Jawa Barat,Bandung Kabupaten,Cicalengka
"",Jawa Barat,Purwakarta,Bojong
"",Bengkulu,Bengkulu Utara,""
"",Jawa Timur,Malang Kabupaten,Tirto Yudo
"",Jawa Tengah,Boyolali,Mojosongo
"",Aceh,Aceh Besar,Ingin Jaya
"",Jawa Timur,Tuban,Merakurak
"",Lampung,Metro,Metro Pusat
"",Bali,Karangasem,Sidemen
"",Jawa Tengah,Magelang Kabupaten,Sawangan
"",Jawa Tengah,Klaten,Polanharjo
"",Lampung,Tulangbawang,Gedung Meneng
"",Jawa Timur,Malang,Pakis
"",Banten,Pandeglang,Kaduhejo
"",DKI Jakarta,Jakarta,Tanjung Priok
"",Jawa Timur,Sampang,Sampang
"",Jawa Tengah,Grobogan,Purwodadi
"",Jawa Barat,Subang,Tanjungsiang
"",Jawa Tengah,Kebumen,Buluspesantren
"",Nusa Tenggara Timur,Sumba Barat Daya,Loura
"",Jawa Tengah,Pekalongan Kabupaten,Talun
"",Sulawesi Tenggara,Konawe,""
"",Jawa Tengah,Wonogiri,Girimarto
JABODETABEK,DKI Jakarta,Kepulauan Seribu,""
"",Kepulauan Riau,Kepulauan Anambas,Siantan Selatan
"",Nusa Tenggara Timur,Sumba Timur,Kambera
JABODETABEK,DKI Jakarta,Jakarta Timur,Cakung
"",Banten,Serang Kota,Taktakan
"",Jawa Barat,Tasikmalaya Kota,Tawang
"",Sumatera Barat,Padang,Koto Tangah
"",Jawa Barat,Majalengka,Jatiwangi
"",Jawa Timur,Kediri Kabupaten,Pare
"",Jawa Timur,Nganjuk,Tanjunganom
JABODETABEK,Jawa Barat,Bekasi,Jatisampurna
"",Banten,Serang Kabupaten,Cikeusal
"",Jawa Barat,Sukabumi Kabupaten,Nyalindung
"",Jawa Timur,Madiun Kota,Kartoharjo
"",Jawa Tengah,Magelang Kabupaten,Windusari
"",Riau,Pekanbaru,Sail
"",Jawa Tengah,Wonogiri,Giriwoyo
"",Kalimantan Utara,Tarakan,Tarakan Utara
"",Sulawesi Tenggara,Kendari,Kadia
Bandung Raya,Jawa Barat,Bandung,Cisarua
JABODETABEK,Banten,Tangerang,Jayanti
"",Sulawesi Selatan,Pinrang,""
Bandung Raya,Jawa Barat,Bandung,Bandung Wetan
"",Jawa Barat,Subang,Sukasari
"",Jawa Barat,Majalengka,Sukahaji
"",Jawa Barat,Sukabumi Kota,Baros
"",Kepulauan Riau,Kepulauan Anambas,""
"",Jawa Timur,Kediri Kabupaten,Kras
"",Jawa Barat,Bekasi Kabupaten,Cabangbungin
"",Jawa Timur,Tuban,Bangilan
"",Nusa Tenggara Barat,Lombok Timur,Aikmel
"",Lampung,Lampung Utara,Kotabumi Selatan
"",Jawa Tengah,Kebumen,Ambal
"",Papua Selatan,Merauke,""
"",Riau,Pekanbaru,Marpoyan Damai
JABODETABEK,DKI Jakarta,Jakarta Timur,Duren Sawit
"",Lampung,Bandar Lampung,Kemiling
"",Banten,Tangerang,Pagedangan
"",Jawa Timur,Lamongan,Kedungpring
JABODETABEK,Jawa Barat,Bogor Kabupaten,Ciawi
"",Sumatera Utara,Medan,Medan Marelan
"",Jambi,Jambi,Jambi Timur
"",Jawa Tengah,Cilacap,Majenang
"",Jawa Barat,Kuningan,Darma
"",Jawa Timur,Mojokerto Kabupaten,Gondang
"",Jawa Timur,Lamongan,Tikung
"",Banten,Cilegon,Citangkil
"",Sulawesi Tengah,Banggai,Luwuk
Bandung Raya,Jawa Barat,Bandung,Cihampelas
"",Jawa Timur,Tuban,Plumpang
"",Jawa Tengah,Brebes,Bumiayu
"",Kalimantan Timur,Bontang,""
"",Sumatera Utara,Simalungun,Panombean Panei
"",Lampung,Mesuji,Tanjung Raya
"",Kepulauan Riau,Tanjungpinang,Tanjungpinang Kota
"",Sulawesi Tenggara,Konawe Selatan,Kolono
"",Sumatera Utara,Mandailing Natal,Lembah Sorik Marapi
"",Aceh,Aceh Barat Daya,Setia
"",Jawa Tengah,Salatiga,Sidomukti
"",Jawa Timur,Malang Kabupaten,Pakis
Bandung Raya,Jawa Barat,Bandung Kota,Lengkong
"",Jawa Barat,Sumedang,Cisarua
"",Jawa Timur,Surabaya,Suko Manunggal
"",Jawa Barat,Bandung Kabupaten,Majalaya
"",DKI Jakarta,Jakarta Utara,Pademangan
"",Jawa Barat,Bogor Kabupaten,Klapanunggal
"",Jawa Barat,Bandung Kota,Sumur Bandung
"",Jawa Timur,Gresik,Bungah
"",Jawa Timur,Banyuwangi,Banyuwangi
"",Jawa Barat,Karawang,Rawamerta
"",Jawa Barat,Cianjur,Campaka
"",Jawa Tengah,Blora,Cepu
"",Nusa Tenggara Barat,Lombok Barat,Gunung Sari
"",Jawa Tengah,Semarang Kabupaten,Bringin
"",Jawa Barat,Sukabumi Kabupaten,Caringin
"",Jawa Tengah,Magelang Kabupaten,Salaman
"",Lampung,Lampung Selatan,Candipuro
"",Riau,Bengkalis,""
"",Jawa Timur,Bangkalan,Tanah Merah
"",Sumatera Barat,Padang Panjang,Padang Panjang Barat
"",Sumatera Utara,Asahan,Kisaran Timur
"",Jawa Tengah,Cilacap,Adipala
"",Sulawesi Selatan,Bulukumba,Ujung Loe
"",Kepulauan Bangka Belitung,Bangka,Mendo Barat
"",Jawa Tengah,Cilacap,Sidareja
"",Sumatera Selatan,Lubuklinggau,Lubuk Linggau Barat I
"",Jawa Tengah,Magelang Kabupaten,Ngluwar
"",Sulawesi Utara,Manado,""
"",Jawa Timur,Bondowoso,Tlogosari
"",Jawa Tengah,Kebumen,Ayah
"",Daerah Istimewa Yogyakarta,Gunung Kidul,""
"",Sumatera Utara,Labuhanbatu Selatan,Kota Pinang
"",Bali,Badung,Kuta
"",DKI Jakarta,Jakarta Selatan,Kebayoran Baru
JABODETABEK,DKI Jakarta,Jakarta Selatan,Kebayoran Baru
JABODETABEK,Jawa Barat,Bekasi Kota,Bekasi Timur
"",Nusa Tenggara Barat,Lombok Tengah,Pujut
Bandung Raya,Jawa Barat,Bandung Kabupaten,Rancaekek
Bandung Raya,Jawa Barat,Bandung Kota,Ujung Berung
JABODETABEK,DKI Jakarta,Jakarta Timur,Pasar Rebo
"",Lampung,Pringsewu,Pringsewu
"",Banten,Tangerang Selatan,Ciputat Timur
"",DKI Jakarta,Jakarta Timur,Matraman
JABODETABEK,Jawa Barat,Bogor Kabupaten,Nanggung
"",Jawa Barat,Bandung Kabupaten,Ciparay
"",Bali,Jembrana,""
"",Banten,Tangerang Kabupaten,Solear
"",Jawa Barat,Cirebon Kabupaten,Ciwaringin
"",Jawa Tengah,Semarang Kabupaten,Pringapus
"",Jawa Barat,Subang,Pagaden Barat
"",Jawa Tengah,Blora,Jati
"",Jawa Tengah,Brebes,Ketanggungan
"",Jawa Timur,Malang,Singosari
Bandung Raya,Jawa Barat,Bandung Barat,Batujajar
"",Jawa Barat,Purwakarta,Pondok Salam
"",Jawa Timur,Magetan,Karangrejo
"",Jawa Timur,Ponorogo,Sukorejo
"",Jawa Tengah,Pekalongan Kabupaten,Wonotunggal
"",Sulawesi Utara,Minahasa Tenggara,Touluaan Selatan
"",Sumatera Utara,Karo,Berastagi
"",Jawa Tengah,Cilacap,Cilacap Utara
"",Aceh,Aceh Besar,Lhoknga
"",Kalimantan Selatan,Banjar,Karang Intan
"",Sumatera Utara,Batu Bara,Sei Balai
"",Lampung,Lampung Utara,Abung Selatan
"",Jawa Timur,Situbondo,Asembagus
"",Jawa Tengah,Magelang,Tegalrejo
"",Jawa Tengah,Purworejo,Gebang
"",Nusa Tenggara Barat,Sumbawa,Moyohilir
Bandung Raya,Jawa Barat,Bandung Kabupaten,Ciwidey
"",Jawa Barat,Kuningan,Jalaksana
"",Jawa Barat,"",Tajur Halang
"",Bali,Tabanan,Marga
"",DKI Jakarta,Jakarta Timur,Duren Sawit
Bandung Raya,Jawa Barat,Bandung Kota,Mandalajati
"",Jawa Tengah,Semarang Kota,Semarang Timur
JABODETABEK,DKI Jakarta,Jakarta,""
Bandung Raya,Jawa Barat,Bandung Kota,Cinambo
"",Jawa Tengah,Sragen,Gemolong
"",Jawa Barat,Cianjur,Sukaluyu
"",Sulawesi Utara,Manado,Bunaken Kepulauan
"",Jawa Timur,Blitar Kabupaten,Wlingi
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Sukakarya
"",Jawa Barat,Purwakarta,""
"",Jawa Tengah,Tegal Kabupaten,Talang
"",Jawa Timur,Tuban,Tambakboyo
"",Jawa Barat,Cirebon Kabupaten,Gempol
"",Jawa Timur,Trenggalek,Watulimo
"",Banten,Pandeglang,""
"",Lampung,Lampung Timur,Pasir Sakti
"",Jawa Timur,Bojonegoro,Padangan
"",Jawa Timur,Magetan,Panekan
"",Banten,Cilegon,""
"",Jawa Timur,Blitar,Kepanjenkidul
"",Jawa Tengah,Jepara,Kalinyamatan
"",Jawa Barat,Cirebon Kabupaten,Losari
"",Kalimantan Utara,Tarakan,Tarakan Timur
Bandung Raya,Jawa Barat,Bandung Kota,Cibeunying Kidul
"",Jawa Tengah,Magelang Kabupaten,Secang
"",Jawa Timur,Surabaya,Wonocolo
Bandung Raya,Jawa Barat,Bandung Kabupaten,Rancabali
"",Jawa Tengah,Purworejo,Banyuurip
"",Sumatera Selatan,Palembang,Kemuning
"",Sulawesi Selatan,Makassar,Biring Kanaya
"",Sulawesi Selatan,Makassar,Ujung Pandang
"",Jawa Timur,Lumajang,Tekung
"",Jawa Timur,Blitar Kabupaten,Kanigoro
"",Sumatera Utara,Medan,Medan Labuhan
"",Jawa Timur,Tulungagung,Gondang
"",Jawa Timur,Lamongan,Maduran
"",Jawa Barat,Majalengka,Ligung
"",Jawa Timur,Blitar Kota,Kepanjenkidul
"",Jambi,Muaro Jambi,Jambi Luar Kota
"",Lampung,Pesisir Barat,""
"",Sulawesi Utara,Minahasa,""
"",Jawa Tengah,Cilacap,Gandrungmangu
"",Banten,Tangerang Kabupaten,Mekar Baru
JABODETABEK,DKI Jakarta,Jakarta Barat,Kali Deres
"",Jawa Timur,Blitar Kabupaten,Wonodadi
JABODETABEK,Jawa Barat,Bogor,Parung
"",Jawa Tengah,Grobogan,Tanggungharjo
"",Lampung,Tulangbawang,Banjar Margo
"",Jawa Barat,Sukabumi Kabupaten,Geger Bitung
"",Jawa Timur,Tulungagung,Kauman
"",Lampung,Lampung Utara,Kotabumi Utara
"",Aceh,Aceh Selatan,""
"",Sumatera Utara,Tapanuli Utara,""
"",Sumatera Utara,Karo,Merdeka
"",Daerah Istimewa Yogyakarta,Kulon Progo,Pengasih
"",Jawa Timur,Sidoarjo,Sedati
"",Jawa Timur,Malang Kabupaten,Dampit
"",Bali,Gianyar,Sukawati
"",Jawa Timur,Lumajang,""
Bandung Raya,Jawa Barat,Bandung Kota,Bandung Kidul
"",Jawa Barat,Garut,Karangpawitan
"",Jawa Tengah,Tegal Kota,Tegal Selatan
"",Jawa Tengah,Tegal Kabupaten,Slawi
"",Banten,Lebak,Warunggunung
"",Sumatera Selatan,Banyu Asin,""
"",Sumatera Utara,Pematangsiantar,Siantar Selatan
"",Riau,Siak,Minas
JABODETABEK,Banten,Tangerang Kota,Benda
"",Sumatera Selatan,Lahat,""
JABODETABEK,Banten,Tangerang Kota,Cibodas
"",Jawa Timur,Jombang,Sumobito
"",Jawa Tengah,Kudus,Dawe
"",Jawa Tengah,Kendal,Ngampel
"",Nusa Tenggara Timur,Kota Kupang,Kota Lama
"",Kalimantan Timur,Samarinda,Samarinda Seberang
"",Lampung,Lampung Barat,Balik Bukit
"",Jawa Tengah,Semarang Kabupaten,Sumowono
"",Sumatera Barat,Bukittinggi,Guguk Panjang
"",Kalimantan Tengah,Palangka Raya,Rakumpit
"",Jawa Barat,Majalengka,""
"",Jawa Tengah,Demak,""
"",Jawa Timur,Surabaya,Bulak
"",Jawa Timur,Surabaya,Asemrowo
Bandung Raya,Jawa Barat,Bandung Kabupaten,Soreang
"",Sumatera Utara,Medan,Medan Johor
"",Jawa Barat,Bogor Kabupaten,Bojong Gede
JABODETABEK,Banten,Tangerang Kabupaten,Sindang Jaya
"",Jawa Timur,Ngawi,Paron
"",Jawa Tengah,Banyumas,Banyumas
"",Kepulauan Riau,Batam,Nongsa
"",Jawa Tengah,Rembang,Rembang
"",Jawa Timur,Lamongan,Kembangbahu
"",Jawa Tengah,Blora,Sambong
"",Sulawesi Selatan,Makassar,Bontoala
"",Nusa Tenggara Barat,Sumbawa,Moyohulu
"",Jawa Tengah,Sukoharjo,Bulu
"",Jawa Barat,Sukabumi Kabupaten,Gunung Guruh
JABODETABEK,Jawa Barat,Bogor,Ciampea
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Girisubo
"",Jawa Tengah,Banyumas,Jatilawang
"",Sulawesi Tenggara,Kolaka Utara,Ngapa
"",Papua Barat Daya,Sorong,Salawati
"",Aceh,Aceh Besar,Darul Imarah
"",Sumatera Selatan,Lubuklinggau,Lubuk Linggau Timur I
"",Lampung,Pringsewu,Ambarawa
JABODETABEK,Banten,Tangerang Selatan,Pamulang
"",Jawa Tengah,Semarang Kota,Gunung Pati
"",Banten,Tangerang Kota,Ciledug
JABODETABEK,DKI Jakarta,Jakarta Pusat,Tanah Abang
"",Jawa Barat,Bogor Kabupaten,Rancabungur
"",Sumatera Utara,Medan,Medan Selayang
Bandung Raya,Jawa Barat,Bandung Kota,Cibiru
"",Jawa Barat,Tasikmalaya Kabupaten,Cigalontang
"",Jawa Barat,Majalengka,Leuwimunding
"",Jawa Timur,Mojokerto Kabupaten,Pungging
"",Bali,Buleleng,Tejakula
"",Sulawesi Utara,Bitung,Ranowulu
"",Jawa Tengah,Purbalingga,Purbalingga
"",Jawa Timur,Bojonegoro,Dander
"",Jawa Barat,Cianjur,""
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Tepus
"",Jawa Barat,Sukabumi Kabupaten,Jampang Tengah
"",Bali,Klungkung,Klungkung
"",Jawa Barat,Bogor Kabupaten,Leuwisadeng
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Cibarusah
"",Nusa Tenggara Timur,Kota Kupang,Maulafa
"",Nusa Tenggara Timur,Sumba Barat Daya,""
Bandung Raya,Jawa Barat,Bandung,Banjaran
JABODETABEK,Banten,Tangerang,Sepatan
"",Sulawesi Barat,Mamuju,""
"",Sumatera Utara,Dairi,Silima Pungga-Pungga
"",Riau,Siak,""
"",Jawa Barat,Bandung Barat,Cipeundeuy
"",Sulawesi Utara,Bolaang Mongondow Timur,Modayag
"",Jawa Barat,Garut,Cisewu
"",Daerah Istimewa Yogyakarta,Bantul,Dlingo
"",Sulawesi Selatan,Luwu Timur,""
"",Jawa Timur,Malang Kota,Lowokwaru
Bandung Raya,Jawa Barat,Bandung Kabupaten,Cimenyan
"",Banten,Tangerang Selatan,Ciputat
"",Daerah Istimewa Yogyakarta,Bantul,Banguntapan
"",Banten,Tangerang Kota,Tangerang
"",Banten,Tangerang Kabupaten,Kosambi
"",Jawa Barat,Indramayu,Lohbener
"",Jawa Timur,Madiun Kabupaten,Madiun
"",Lampung,Bandar Lampung,Tanjung Karang Timur
"",Banten,Lebak,Leuwidamar
"",Jawa Barat,Cirebon Kabupaten,Plered
"",Aceh,Aceh Besar,""
"",Jawa Barat,Pangandaran,Cigugur
"",Jawa Barat,Garut,Kersamanah
"",Lampung,Pringsewu,Adi Luwih
"",Banten,Serang,Curug
"",Jawa Tengah,Kendal,Patean
"",Kalimantan Timur,Mahakam Hulu,""
"",Jawa Timur,Jember,Sumberjambe
"",Jambi,Batang Hari,Maro Sebo Ulu
"",Nusa Tenggara Barat,Sumbawa Barat,Poto Tano
"",Banten,Lebak,Cirinten
"",Lampung,Tulang Bawang Barat,Tulang Bawang Udik
"",Jawa Barat,Indramayu,Sukra
"",Daerah Istimewa Yogyakarta,Sleman,Kalasan
"",Jawa Barat,Depok,Cinere
"",Jawa Barat,Cirebon Kabupaten,Weru
Bandung Raya,Jawa Barat,Bandung,Rancasari
Bandung Raya,Jawa Barat,Bandung Kota,Andir
"",Jawa Timur,Pasuruan Kabupaten,Pohjentrek
"",Jawa Timur,Mojokerto Kabupaten,Trawas
"",Sumatera Utara,Deli Serdang,Labuhan Deli
"",DKI Jakarta,Jakarta,Pesanggrahan
"",Jawa Barat,Bandung Barat,Cipatat
"",Jawa Tengah,Temanggung,Temanggung
"",Jawa Timur,Kediri Kabupaten,Plemahan
"",Banten,Serang Kabupaten,Bandung
JABODETABEK,Banten,Tangerang Kabupaten,Jayanti
"",Lampung,Lampung Tengah,Bandar Mataram
"",Jawa Tengah,Wonosobo,""
JABODETABEK,Banten,Tangerang Kabupaten,Sukadiri
JABODETABEK,Jawa Barat,Bogor,Bogor Utara
"",Jawa Timur,Ngawi,Gerih
"",Jawa Timur,Malang,Tajinan
JABODETABEK,Jawa Barat,Bogor,Ciomas
"",Sulawesi Tengah,Palu,Mantikulore
"",Jawa Tengah,Sragen,Jenar
"",Sumatera Utara,Langkat,Sei Bingai
"",Sumatera Utara,Simalungun,Siantar
"",Kalimantan Timur,Samarinda,Sambutan
"",Jawa Tengah,Pekalongan Kabupaten,Paninggaran
"",Jawa Timur,Surabaya,Mulyorejo
JABODETABEK,Jawa Barat,Bekasi Kota,Jatisampurna
Bandung Raya,Jawa Barat,Bandung Kota,Sumur Bandung
"",Jawa Barat,Karawang,Telukjambe Timur
"",Daerah Istimewa Yogyakarta,Sleman,Ngaglik
JABODETABEK,DKI Jakarta,Jakarta Timur,Jatinegara
JABODETABEK,Banten,Tangerang Kabupaten,Curug
"",Jawa Barat,Bogor Kota,Bogor Tengah
"",Sumatera Selatan,Palembang,Sako
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Cikarang Selatan
"",DKI Jakarta,Jakarta Timur,Makasar
"",Jawa Barat,Cianjur,Cibeber
"",Lampung,Tulangbawang,Menggala
"",Daerah Istimewa Yogyakarta,Kulon Progo,Temon
"",Jawa Timur,Jombang,Perak
"",Jawa Barat,Kuningan,Ciniru
"",Sumatera Utara,Batu Bara,""
"",Jawa Tengah,Pekalongan Kabupaten,Kedungwuni
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Muara Gembong
"",Jawa Tengah,Blora,Kota Blora
"",DKI Jakarta,Kepulauan Seribu,Kepulauan Seribu Selatan
"",Sulawesi Tengah,Palu,Tatanga
"",Banten,Serang Kabupaten,Puloampel
"",Sulawesi Tengah,Palu,Palu Barat
"",Sumatera Selatan,Lubuklinggau,Lubuk Linggau Barat II
"",Jawa Tengah,Kebumen,Adimulyo
"",Jawa Timur,Lumajang,Klakah
"",Aceh,Aceh Tamiang,Bendahara
JABODETABEK,Banten,Tangerang,Karawaci
"",Jawa Barat,Sukabumi,Sukaraja
"",Jawa Tengah,Blora,Tunjungan
"",Jawa Timur,Kediri,""
"",Jawa Timur,Pacitan,""
"",Jawa Barat,Bandung Kabupaten,Paseh
"",Jawa Barat,Bekasi Kota,Bekasi Timur
"",Jawa Timur,Situbondo,Besuki
"",Jawa Barat,Bekasi Kabupaten,Cikarang Barat
"",Bali,Gianyar,Payangan
"",Jawa Barat,Karawang,Klari
"",Kalimantan Tengah,Kapuas,Mandau Talawang
"",Banten,Lebak,Cibeber
"",Jambi,Jambi,Alam Barajo
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Playen
JABODETABEK,Jawa Barat,Depok,Limo
"",Jawa Tengah,Banyumas,Wangon
"",Jawa Barat,Sumedang,Tanjungmedar
"",Jawa Tengah,Purbalingga,Karangmoncol
"",Lampung,Lampung Selatan,Penengahan
"",Jawa Barat,Sukabumi Kabupaten,Tegal Buleud
"",Sulawesi Selatan,Wajo,Tana Sitolo
Bandung Raya,Jawa Barat,Bandung Kota,Gedebage
"",Daerah Istimewa Yogyakarta,Sleman,Godean
"",Jawa Barat,Purwakarta,Darangdan
"",Banten,Tangerang Kabupaten,Teluknaga
"",Daerah Istimewa Yogyakarta,Bantul,Pundong
"",Kalimantan Timur,Samarinda,Loa Janan Ilir
JABODETABEK,Jawa Barat,Bekasi,Jatiasih
"",Jawa Timur,Sidoarjo,Jabon
"",Bali,Jembrana,Mendoyo
"",Kalimantan Selatan,Banjarmasin,Banjarmasin Tengah
"",Jawa Timur,Jember,Gumuk Mas
"",Jawa Timur,Lamongan,""
Bandung Raya,Jawa Barat,Bandung Barat,Cipatat
"",Jawa Timur,Bondowoso,Taman Krocok
"",Jawa Barat,Indramayu,Balongan
"",Kalimantan Tengah,Barito Utara,Teweh Tengah
JABODETABEK,Banten,Tangerang,Cikupa
"",Lampung,Pesawaran,Teluk Pandan
"",Aceh,Banda Aceh,Banda Raya
"",Banten,Cilegon,Cilegon
Bandung Raya,Jawa Barat,Bandung,Astana Anyar
"",Sumatera Utara,Samosir,Simanindo
"",Sumatera Selatan,Ogan Komering Ilir,Cengal
"",Jawa Barat,Sukabumi Kabupaten,Sukalarang
"",Jawa Timur,Trenggalek,Tugu
"",Kalimantan Selatan,Tapin,Tapin Utara
"",Sumatera Utara,Tapanuli Utara,Sipoholon
"",Jawa Timur,Jember,Semboro
"",Jawa Tengah,Kebumen,Karanggayam
"",Jawa Tengah,Klaten,Klaten Selatan
"",Daerah Istimewa Yogyakarta,Sleman,Gamping
"",Jawa Tengah,Klaten,Klaten Utara
"",Daerah Istimewa Yogyakarta,Yogyakarta,Kotagede
"",Jawa Timur,Malang Kabupaten,Pakisaji
"",Bali,Denpasar,Denpasar Timur
